鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
金湖鎮,土地,湖后劃段151~180地號,1120.0,都市：其他:農業區,,,1091103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,3571,,0.0,0,,RPPNMLOKJIPFFAW07DA,0.0,0.0,0.0,無
金湖鎮,土地,南雄段331~360地號,138.15,都市：其他:農業區,,,1091020,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,308000,2229,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPTNMLMKJIPFFAW27DA,0.0,0.0,0.0,無
金湖鎮,土地,南雄段331~360地號,112.03,都市：其他:國家公園區,,,1091020,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,246466,2200,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPUNMLMKJIPFFAW37DA,0.0,0.0,0.0,無
金湖鎮,土地,湖東劃段121~150地號,354.0,都市：其他:農業區,,,1091107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3550000,10028,,0.0,0,未登記建物;,RPVOMLMKJIPFFAW67EA,0.0,0.0,0.0,無
金寧鄉,房地(土地+建物),湖南301~330號,102.0,都市：其他:農業區,,,1090915,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1090708,213.3,5,3,5,有,無,13300000,62353,,0.0,0,,RPQOMLTLIIPFFAW77DA,201.57,0.0,11.73,無
金寧鄉,房地(土地+建物),湖南301~330號,118.0,都市：其他:農業區,,,1090915,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1090708,216.34,5,3,5,有,無,13300000,61477,,0.0,0,,RPROMLTLIIPFFAW87DA,204.44,0.0,11.9,無
金湖鎮,房地(土地+建物),料羅121~150號,31.0,都市：其他:自然村專用區,,,1091003,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1071025,62.03,2,1,1,有,無,3200000,51588,,0.0,0,,RPPNMLKMIIPFFAW76DA,52.19,0.0,4.52,無
金寧鄉,房地(土地+建物),頂堡61~90號,62.94,都市：其他:自然村專用區,,,1091023,土地1建物2車位0,三層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1010918,111.98,3,2,2,有,無,6800000,60725,,0.0,0,含傢俱設備費;,RPTOMLQLIIPFFAW77DA,92.93,0.0,8.0,無
金城鎮,房地(土地+建物),中興路161巷1~30號,20.16,都市：其他:第三種住宅區。,,,1091103,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0880310,96.67,3,2,2,有,無,7300000,75515,,0.0,0,含傢俱設備費;,RPQNMLOJJIPFFAW07DA,76.73,0.0,10.2,無
金寧鄉,房地(土地+建物),湖下271~300號,39.94,都市：其他:自然村專用區,,,1091030,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090925,92.72999999999999,3,2,2,有,無,5600000,60390,,0.0,0,預售屋、或土地及建物分次登記案件;,RPROMLMKJIPFFAW17DA,68.57,0.0,6.34,有
