鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
嘉義市,建物,嘉義市嘉義市東區保仁三街61~90號,66.0,住,,,1091012,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0730412,86.81,3,2,2,有,無,有,8000,92,,0.0,0,,RPQOMLMKIIPFFAI28CC
嘉義市,建物,嘉義市嘉義市西區建成街181~210號,0.0,住,,,1091008,土地0建物1車位0,四層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0791023,33.64,1,0,1,有,無,有,4500,134,,0.0,0,,RPROMLMKIIPFFAI38CC
嘉義市,房地(土地+建物),嘉義市嘉義市博東路151~180號,18.64,住,,,1090921,土地1建物1車位0,十七層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,147.54,4,2,2,有,有,有,13000,88,,0.0,0,,RPOOMLPKIIPFFAI38CC
嘉義市,建物,嘉義市嘉義市國華街301~330號,0.0,,,,1090925,土地0建物0車位0,三層,5,套房(1房1廳1衛),見其他登記事項,見其他登記事項,1041110,16.72,1,1,1,有,無,有,6500,389,,0.0,0,含管理費、稅金或水電等費用。,RPPOMLPKIIPFFAI48CC
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市志昇街91~120號,29.06,住,,,1091003,土地2建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931103,187.89,3,2,2,有,有,無,11000,59,坡道平面,0.0,0,起租日109年10月4日有含一個含在大公設裡的坡道平面車位可使用,RPSNMLQKIIPFFAI98EC
嘉義市,建物,嘉義市嘉義市西區友平街1~30號,0.0,住,,,1091016,土地0建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831215,103.33,3,2,2,有,有,有,10000,97,,0.0,0,,RPRNMLTKIIPFFAI98CC
嘉義市,建物,嘉義市嘉義市義教街601~630號,0.0,住,,,1091016,土地0建物1車位0,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830723,113.68,3,2,2,有,有,有,10500,92,,0.0,0,,RPSNMLTKIIPFFAI09CC
