鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
桃園區,房地(土地+建物),大興西路二段241~270號,8.8,都市：其他:住宅區,,,1091102,土地1建物1車位0,十二層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841103,98.69,3,2,2,有,有,6600000,66876,,0.0,0,,RPROMLKKJIPFFAH08DA,63.2,0.9,9.21,有
桃園區,房地(土地+建物),春日路1441~1470號,31.73,都市：其他:住宅區,,,1090927,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951116,161.42000000000002,4,2,2,有,有,9000000,55755,,0.0,0,,RPRPMLKKJIPFFAH18DA,114.6,0.95,15.66,有
桃園區,房地(土地+建物)+車位,國豐六街31~60號,15.35,都市：其他:第二種住宅區,,,1090807,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961023,116.5,2,2,1,有,有,7200000,61803,坡道平面,0.0,0,,RPXQMLKKJIPFFAH88DA,51.31,1.05,5.76,有
桃園區,房地(土地+建物),同安街455巷3弄1~30號,31.12,都市：其他:住宅區,,,1091031,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700902,111.1,3,2,1,有,無,5880000,52925,,0.0,0,,RPPRMLKKJIPFFAH18DA,96.94,0.0,14.16,無
桃園區,房地(土地+建物)+車位,大興西路二段139巷151~180號,14.81,都市：其他:住宅區,,,1091009,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970424,113.95,2,2,1,有,有,7300000,64063,坡道平面,33.87,0,,RPPPMLLKJIPFFAH08DA,52.88,0.0,3.29,有
桃園區,房地(土地+建物)+車位,正光路301~330號,23.94,都市：其他:第一之一種住宅區,,,1090721,土地1建物1車位1,十六層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080814,171.20999999999998,2,2,2,有,有,17280000,105157,坡道平面,23.05,1700000,,RPRPMLLKJIPFFAH28DA,85.43,7.36,5.6,有
桃園區,房地(土地+建物)+車位,正光路301~330號,36.26,都市：其他:第一之一種住宅區,,,1090809,土地1建物1車位2,二十層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080814,264.31,2,2,2,有,有,26680000,105770,坡道平面,46.1,3600000,,RPTPMLLKJIPFFAH48DA,121.64,7.07,14.94,有
桃園區,房地(土地+建物),林森路31~60號,27.22,都市：其他:住宅區,,,1091006,土地3建物1車位0,五層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700120,105.7,3,2,1,有,無,2720000,25733,,0.0,0,,RPTOMLLKJIPFFAH38DA,105.7,0.0,0.0,無
桃園區,房地(土地+建物)+車位,慈文路871~900號,38.58,都市：其他:住宅區,,,1090824,土地1建物1車位1,十三層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080125,248.26999999999998,3,2,2,有,有,23980000,104791,坡道平面,36.61,1800000,,RPVPMLLKJIPFFAH68DA,126.06,0.0,15.29,有
桃園區,房地(土地+建物)+車位,正光路301~330號,23.94,都市：其他:第一之一種住宅區,,,1090920,土地1建物1車位1,六層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080814,171.85,2,2,2,有,有,17130000,103696,坡道平面,23.05,1700000,,RPXPMLLKJIPFFAH88DA,85.43,8.0,5.6,有
