鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
安南區,土地,城中段151~180地號,116.97,都市：其他:住宅區,,,1090914,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4460000,38129,,0.0,0,,RPRNMLQJJIPFFBD18DA,0.0,0.0,0.0,無
安南區,土地,國安段511~540地號,92.41,都市：其他:住宅區,,,1091027,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250000,2705,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPQNMLSJJIPFFBD28DA,0.0,0.0,0.0,無
安南區,土地,國安段541~570地號,89.57,都市：其他:住宅區,,,1091102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250000,2791,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPRNMLSJJIPFFBD38DA,0.0,0.0,0.0,無
安南區,土地,總安段991~1020地號,801.64,都市：其他:住宅區,,,1090910,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,60000000,74847,,0.0,0,,RPRNMLTJJIPFFBD48DA,0.0,0.0,0.0,無
南區,房地(土地+建物),中華西路一段40巷1~30號,33.26,都市：其他:住宅區,,,1090927,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0711125,94.19999999999999,3,2,2,有,無,3200000,33970,,0.0,0,,RPTNMLNKIIPFFCD18DA,0.0,0.0,0.0,無
南區,房地(土地+建物),新興路361~390號,19.37,都市：其他:住宅區,,,1090821,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0711223,80.24,3,2,1,有,有,4350000,54212,,0.0,0,,RPUPMLPKIIPFFCD68DA,0.0,0.0,0.0,有
東區,房地(土地+建物),東安路30巷10弄1~30號,26.1,都市：其他:第五種住宅區,,,1091016,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720317,94.87,3,2,2,有,無,5080000,53547,,0.0,0,,RPSNMLQKIIPFFCD38DA,0.0,0.0,0.0,無
南區,房地(土地+建物)+車位,水交社路80巷31~60號,31.2,都市：其他:住宅區,,,1090929,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1031016,158.51,3,2,2,有,有,8600000,54255,坡道平面,31.2,0,,RPUOMLOKIIPFFCD48DA,63.09,0.89,20.35,有
南區,房地(土地+建物)+車位,水交社路20巷1~30號,19.48,都市：其他:住宅區,,,1091015,土地3建物1車位1,七層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1051201,112.50999999999999,2,2,1,有,有,6000000,53329,坡道平面,25.33,0,,RPWOMLKLIIPFFCD38DA,0.0,0.0,0.0,有
南區,房地(土地+建物),新建路20巷1~30號,42.3,都市：其他:住宅區,,,1091008,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0720422,93.25,3,2,2,有,無,3650000,39142,,0.0,0,,RPVOMLLLIIPFFCD38DA,0.0,0.0,0.0,無
