編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQOMLTKIIPFFAD48CC,,101.92,住家用,磚造,,二層,
RPOOMLTKIIPFFAD28CC,3,97.43,見其他登記事項,見其他登記事項,106年10月20日,一層,
RPOOMLTKIIPFFAD28CC,3,1.03,見其他登記事項,見其他登記事項,106年10月20日,一層,
RPOOMLTKIIPFFAD28CC,3,97.43,見其他登記事項,見其他登記事項,106年10月20日,一層,
RPOOMLTKIIPFFAD28CC,3,1.03,見其他登記事項,見其他登記事項,106年10月20日,一層,
RPSNMLTKIIPFFAD58CC,39,102.32,住家用,加強磚造,71年2月24日,二層,
RPSOMLTKIIPFFAD68CC,21,87.59,見其他登記事項,鋼筋混凝土造,88年11月6日,十四層,
RPSOMLTKIIPFFAD68CC,21,2.79,共有部分,鋼筋混凝土造,88年11月6日,十四層,
RPSOMLTKIIPFFAD68CC,21,43.33,共有部分,鋼筋混凝土造,88年11月6日,十四層,
RPPOMLKLIIPFFHD28CC,5,173.83,見其他登記事項,見其他登記事項,104年4月30日,一層,
RPRNMLKLIIPFFAD67CC,32,118.71,住家用,鋼筋混凝土造,77年9月24日,二層,
RPSNMLKLIIPFFHD48CC,26,135.20,住家用,鋼筋混凝土造,83年8月6日,八層,
RPWOMLKLIIPFFHD98CC,28,116.81,住家用,鋼筋混凝土造,81年5月7日,二層,
RPUOMLKLIIPFFKD09CC,31,430.41,見其他登記事項,鋼筋混凝土造,78年8月15日,二層,
RPRPMLKLIIPFFKD88CC,9,331.28,見其他登記事項,見其他登記事項,101年2月2日,四層,
RPSNMLKLIIPFFCD97CC,35,154.27,住家用,鋼筋混凝土造,75年2月6日,三層,
RPVNMLKLIIPFFCD28CC,30,1150.99,商業用,鋼筋混凝土造,79年9月17日,二十二層,
RPVNMLKLIIPFFCD28CC,30,364.91,共有部分,鋼筋混凝土造,79年9月17日,二十二層,
RPTOMLKLIIPFFAD08DC,46,112.75,住商用,鋼筋混凝土造,63年11月30日,三層,
RPWNMLKLIIPFFCD38CC,53,57.48,住家用,加強磚造,57年1月30日,二層,
RPUNMLKLIIPFFCD18CC,30,28.61,住家用,鋼筋混凝土造,79年9月21日,七層,
RPUNMLKLIIPFFCD18CC,30,11.36,共有部分,鋼筋混凝土造,79年9月21日,七層,
RPTOMLKLIIPFFCD18CC,34,205.30,見其他登記事項,鋼筋混凝土造,75年10月30日,五層,
RPTNMLKLIIPFFCD08CC,32,199.77,住商用,鋼筋混凝土造,77年12月19日,四層,
RPROMLKLIIPFFID58CC,12,927.95,工業用,見其他登記事項,97年12月31日,一層,
RPXNMLKLIIPFFID09CC,31,64.74,住家用,鋼筋混凝土造,79年2月20日,五層,
