編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLSKJIPFFAI09DA,25,14.58,共有部份,鋼筋混凝土造,84年10月4日,十一層,
RPTNMLSKJIPFFAI09DA,25,7.79,共有部份,鋼筋混凝土造,84年10月4日,十一層,
RPTOMLTJJIPFFAI56DA,38,8.20,共有部份,鋼筋混凝土造,71年5月3日,五層,
RPTOMLTJJIPFFAI56DA,38,71.75,見其他登記事項,鋼筋混凝土造,71年5月3日,五層,二層
RPUNMLRKJIPFFAI09DA,27,71.85,住家用,鋼筋混凝土造,82年5月15日,十五層,五層
RPUNMLRKJIPFFAI09DA,27,9.56,共有部份,鋼筋混凝土造,82年5月15日,十五層,
RPUNMLRKJIPFFAI09DA,27,11.10,共有部份,鋼筋混凝土造,82年5月15日,十五層,
RPVNMLKMIIPFFAI58DA,26,83.50,住家用,鋼筋混凝土造,83年7月18日,十二層,七層
RPVNMLKMIIPFFAI58DA,26,31.44,共有部份,鋼筋混凝土造,83年7月18日,十二層,
RPQOMLSKJIPFFAI88DA,26,80.66,住家用,鋼筋混凝土造,84年1月11日,七層,七層
RPQOMLSKJIPFFAI88DA,26,39.49,共有部份,鋼筋混凝土造,84年1月11日,七層,
RPQPMLTJJIPFFAI98DA,5,84.84,見其他登記事項,見其他登記事項,104年10月28日,三層,一層 二層 三層 見其他登記事項
RPQPMLTJJIPFFAI98DA,5,84.84,見其他登記事項,見其他登記事項,104年10月28日,三層,一層 二層 三層 見其他登記事項
RPXNMLSKJIPFFAI86DA,,206.37,見其他登記事項,見其他登記事項,109年9月24日,三層,一層 二層 三層 見其他登記事項
RPVOMLRLIIPFFAI66DA,28,46.77,商業用,鋼筋混凝土造,81年5月15日,十層,四層
RPVOMLRLIIPFFAI66DA,28,6.98,共有部份,鋼筋混凝土造,81年5月15日,十層,
RPVOMLRLIIPFFAI66DA,28,7.97,共有部份,鋼筋混凝土造,81年5月15日,十層,
RPVOMLRLIIPFFAI66DA,28,3.19,共有部份,鋼筋混凝土造,81年5月15日,十層,
RPOOMLSKJIPFFAI68DA,2,133.92,見其他登記事項,見其他登記事項,107年12月19日,十一層,一層 二層 見其他登記事項
RPOOMLSKJIPFFAI68DA,2,61.92,見其他登記事項,見其他登記事項,107年12月19日,十一層,
RPWNMLRKJIPFFAI66DA,1,234.65,見其他登記事項,見其他登記事項,109年3月24日,三層,一層 二層 三層 見其他登記事項
RPRNMLTKJIPFFAI09EA,28,78.06,住家用,鋼筋混凝土造,81年12月31日,五層,五層
RPRNMLTKJIPFFAI09EA,28,12.64,共有部份,鋼筋混凝土造,81年12月31日,五層,
RPRNMLTKJIPFFAI09EA,28,13.39,共有部份,鋼筋混凝土造,81年12月31日,五層,
RPWOMLRKJIPFFAI76DA,28,4.40,共有部份,鋼筋混凝土造,81年9月3日,七層,
RPWOMLRKJIPFFAI76DA,28,7.30,共有部份,鋼筋混凝土造,81年9月3日,七層,
RPWOMLRKJIPFFAI76DA,28,31.50,住家用,鋼筋混凝土造,81年9月3日,七層,六層
RPVNMLTKJIPFFAI86EA,46,91.27,住家用,鋼筋混凝土加強磚造,64年1月17日,二層,一層 二層
RPOPMLRKJIPFFAI68DA,9,115.26,見其他登記事項,見其他登記事項,100年7月6日,四層,一層 二層 三層 四層
RPOPMLRKJIPFFAI68DA,9,115.26,見其他登記事項,見其他登記事項,100年7月6日,四層,一層 二層 三層 四層
