鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
大寮區,土地,王厝段901~930地號,127.17,都市：其他:河川區,,,1091030,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1080945,8500,,0.0,0,,RPQNMLLLIIPFFLE78DA,0.0,0.0,0.0,無
湖內區,房地(土地+建物),中山路一段165巷1~30號,65.5,都市：其他:住宅區,,,1091104,土地2建物1車位0,全,二層,透天厝,住家用,見其它登記事項,0660300,83.34,3,2,2,有,無,1450000,17399,,0.0,0,,RPSNMLMKJIPFFJE88DA,75.81,7.53,0.0,無
阿蓮區,土地,中路段2281~2310地號,847.0,,特定農業區,農牧用地,1091016,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3900000,4604,,0.0,0,,RPUNMLSKJIPFFJE07DA,0.0,0.0,0.0,無
湖內區,土地,圍子內段3541~3570地號,1560.0,都市：其他:農業區,,,1091007,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7500000,4808,,0.0,0,,RPWNMLSKJIPFFJE27DA,0.0,0.0,0.0,無
阿蓮區,房地(土地+建物),中正路16巷1~30號,77.3,,一般農業區,甲種建築用地,1091012,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0830527,210.17,4,2,3,有,無,4800000,22839,,0.0,0,,RPOOMLSKJIPFFJE56DA,182.34,8.52,19.31,無
大社區,土地,觀音山段1~30地號,94.11,都市：其他:道路用地,,,1091113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,484000,5143,,0.0,0,,RPXOMLNKJIPFFIE86DA,0.0,0.0,0.0,無
鳥松區,房地(土地+建物),美山路36巷1~30號,355.28,都市：其他:農業區,,,1090514,土地5建物1車位0,全,一層,透天厝,工業用,見其它登記事項,0970501,158.25,0,0,0,無,無,17260000,109068,,0.0,0,,RPPNMLOKJIPFFIE68DA,158.25,0.0,0.0,無
鳥松區,房地(土地+建物),美山路36巷1~30號,344.74,都市：其他:農業區,,,1090514,土地5建物1車位0,全,一層,透天厝,工業用,見其它登記事項,0970501,157.24,0,0,0,無,無,16740000,106461,,0.0,0,,SPPNMLOKJIPFFIE78DA,157.24,0.0,0.0,無
鳥松區,房地(土地+建物),美山路36巷1~30號,349.91,都市：其他:農業區,,,1090514,土地5建物1車位0,全,一層,透天厝,工業用,見其它登記事項,0970501,159.78,0,0,0,無,無,17000000,106396,,0.0,0,,RPQNMLOKJIPFFIE78DA,159.78,0.0,0.0,無
鳥松區,房地(土地+建物),美山路36巷1~30號,349.91,都市：其他:農業區,,,1090514,土地5建物1車位0,全,一層,透天厝,工業用,見其它登記事項,0970501,159.78,0,0,0,無,無,17000000,106396,,0.0,0,,SPQNMLOKJIPFFIE88DA,159.78,0.0,0.0,無
