編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWQMLTKIIPFFBD66DA,39,7.81,共有部分,鋼筋混凝土造,70年9月7日,四層,
RPRNMLLKJIPFFAD67DA,3,226.09,見其他登記事項,見其他登記事項,106年8月17日,二十五層,十一層
RPRNMLLKJIPFFAD67DA,3,116.92,見其他登記事項,見其他登記事項,106年8月17日,二十五層,
RPRNMLLKJIPFFAD67DA,3,43.41,見其他登記事項,見其他登記事項,106年8月17日,二十五層,
RPWNMLTJJIPFFAD88DA,46,77.91,住家用,加強磚造,63年10月26日,二層,一層 二層
RPROMLKKJIPFFAD67DA,3,202.73,見其他登記事項,見其他登記事項,106年7月6日,二十一層,十一層
RPROMLKKJIPFFAD67DA,3,123.45,見其他登記事項,見其他登記事項,106年7月6日,二十一層,
RPROMLKKJIPFFAD67DA,3,38.10,見其他登記事項,見其他登記事項,106年7月6日,二十一層,
RPSNMLRJJIPFFAD28DA,5,82.35,見其他登記事項,見其他登記事項,104年11月5日,二十四層,二層
RPSNMLRJJIPFFAD28DA,5,56.06,見其他登記事項,見其他登記事項,104年11月5日,二十四層,
RPUNMLTJJIPFFAD68DA,,178.49,商業用,磚造,,二層,一層 二層 騎樓
RPOQMLOKIIPFFAD87DA,22,17.40,共有部分,鋼筋混凝土造,87年4月20日,十四層,
RPOQMLOKIIPFFAD87DA,22,6.82,共有部分,鋼筋混凝土造,87年4月20日,十四層,
RPOQMLOKIIPFFAD87DA,22,53.10,住家用,鋼筋混凝土造,87年4月20日,十四層,四層
RPXNMLMLIIPFFAD38DA,3,97.28,見其他登記事項,見其他登記事項,106年7月6日,二十一層,七層
RPVOMLOKIIPFFAD38DA,5,58.58,見其他登記事項,見其他登記事項,104年11月5日,二十四層,二十層
RPXNMLMLIIPFFAD38DA,3,97.28,見其他登記事項,見其他登記事項,106年7月6日,二十一層,七層
RPVOMLOKIIPFFAD38DA,5,57.87,見其他登記事項,見其他登記事項,104年11月5日,二十四層,
RPXNMLMLIIPFFAD38DA,3,61.68,見其他登記事項,見其他登記事項,106年7月6日,二十一層,
RPXNMLMLIIPFFAD38DA,3,61.68,見其他登記事項,見其他登記事項,106年7月6日,二十一層,
RPXNMLMLIIPFFAD38DA,3,19.02,見其他登記事項,見其他登記事項,106年7月6日,二十一層,
RPXNMLMLIIPFFAD38DA,3,19.02,見其他登記事項,見其他登記事項,106年7月6日,二十一層,
RPTPMLKMIIPFFAD08DA,5,60.53,見其他登記事項,見其他登記事項,104年11月5日,二十四層,十五層
RPTPMLKMIIPFFAD08DA,5,25.92,見其他登記事項,見其他登記事項,104年11月5日,二十四層,
RPXQMLQJJIPFFAD98DA,2,123.33,見其他登記事項,見其他登記事項,107年9月21日,一層,一層 屋頂突出物 騎樓
RPXQMLQJJIPFFAD98DA,2,40.39,見其他登記事項,見其他登記事項,107年9月21日,一層,一層 騎樓
