編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVPMLKLIIPFFEF88CC,11,25.56,見其他登記事項,鋼筋混凝土造,98年12月25日,十七層,
RPRQMLKLIIPFFEF58CC,11,90.52,住家用,鋼筋混凝土造,98年8月17日,十五層,
RPRQMLKLIIPFFEF58CC,11,44.37,共有部份,鋼筋混凝土造,98年8月17日,十五層,
RPRQMLKLIIPFFEF58CC,11,17.97,共有部份,鋼筋混凝土造,98年8月17日,十五層,
RPSQMLKLIIPFFEF68CC,9,53.65,見其他登記事項,鋼筋混凝土造,100年11月3日,十層,
RPSQMLKLIIPFFEF68CC,9,23.21,見其他登記事項,鋼筋混凝土造,100年11月3日,十一層,
RPOQMLKLIIPFFGF48CC,39,24.25,商業用,鋼筋混凝土造,70年10月13日,六層,
RPORMLKLIIPFFGF58CC,28,25.17,商業用,鋼筋混凝土造,81年7月16日,十二層,
RPORMLKLIIPFFGF58CC,28,3.80,共有部份,鋼筋混凝土造,81年7月16日,十二層,
RPXQMLKLIIPFFGF76CC,4,31.84,見其他登記事項,鋼筋混凝土造,105年10月18日,十四層,
RPXQMLKLIIPFFGF76CC,4,11.31,見其他登記事項,鋼筋混凝土造,105年10月18日,十四層,
RPXQMLKLIIPFFGF76CC,4,2.16,見其他登記事項,鋼筋混凝土造,105年10月18日,十四層,
RPUOMLKLIIPFFGF88CC,6,69.73,住家用,鋼筋混凝土造,103年11月24日,六層,
RPUOMLKLIIPFFGF88CC,6,20.45,見其他登記事項,鋼筋混凝土造,103年11月24日,六層,
RPPQMLKLIIPFFGF58CC,35,19.67,住家用,鋼筋混凝土造,75年1月28日,五層,
RPPQMLKLIIPFFGF58CC,35,2.53,共有部份,鋼筋混凝土造,75年1月28日,五層,
RPQNMLKLIIPFFEF18CC,20,56.95,住家用,鋼筋混凝土造,90年3月2日,二十一層,
RPQNMLKLIIPFFEF18CC,20,23.02,共有部份,鋼筋混凝土造,90年3月2日,二十一層,
RPXQMLKLIIPFFHF96DC,43,113.46,商業用,鋼筋混凝土造,66年11月23日,五層,
