鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
板橋區,房地(土地+建物),莒光路40巷7弄1~30號,23.33,都市：其他:住宅區,,,1090117,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,65.76,3,2,1,有,無,7000000,106448,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,VPWOMLRLIIPFFAF86DA,65.76,0.0,0.0,無
板橋區,房地(土地+建物),莒光路40巷7弄1~30號,23.33,都市：其他:住宅區,,,1090117,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,65.76,3,2,1,有,無,7000000,106448,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,WPWOMLRLIIPFFAF96DA,65.76,0.0,0.0,無
板橋區,房地(土地+建物),莒光路40巷7弄1~30號,24.33,都市：其他:住宅區,,,1090117,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,75.36,3,2,1,有,無,7330000,97266,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,XPWOMLRLIIPFFAF07DA,75.36,0.0,0.0,無
板橋區,房地(土地+建物),莒光路40巷7弄1~30號,24.33,都市：其他:住宅區,,,1090117,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,75.36,3,2,1,有,無,6670000,88508,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,YPWOMLRLIIPFFAF17DA,75.36,0.0,0.0,無
板橋區,房地(土地+建物),文化路一段361~390號,6.21,都市：其他:住宅區,,,1091027,土地1建物1車位0,十七層,四十三層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0990715,123.11000000000001,3,2,2,有,有,24800000,201446,,0.0,0,,RPQQMLSLIIPFFAF78DA,72.4,0.0,14.19,有
板橋區,房地(土地+建物),南雅東路1~30號,4.9,都市：其他:商業區,,,1091009,土地1建物1車位0,九層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0861121,49.57,1,1,1,有,有,5270000,106314,,0.0,0,其他增建;,RPPSMLKMIIPFFAF18DA,30.64,0.0,2.97,有
板橋區,房地(土地+建物),陽明街164巷31~60號,26.4,都市：其他:住宅區,,,1090924,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,94.09,4,0,4,有,無,15000000,159422,,0.0,0,頂樓加蓋;,RPXPOLMJJIPFFAF88DA,85.04,0.0,9.05,無
板橋區,車位,光環路二段31~60號,0.05,都市：其他:住宅區,,,1091012,土地1建物1車位1,一層,二十層,其他,見其他登記事項,鋼骨鋼筋混凝土造,1071213,27.27,0,0,0,有,有,1920000,,坡道平面,27.27,1920000,僅車位交易;,RPSNMLNJJIPFFAF08DA,0.0,0.0,0.0,有
板橋區,房地(土地+建物)+車位,光環路二段61~90號,15.34,都市：其他:住宅區,,,1090820,土地1建物1車位1,十九層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1071213,135.15,2,2,2,有,有,17550000,144605,坡道平面,27.27,1950000,,RPUNMLNJJIPFFAF28DA,63.2,4.48,4.97,有
板橋區,車位,光環路二段31~60號,0.05,都市：其他:住宅區,,,1090901,土地1建物1車位1,一層,二十層,其他,見其他登記事項,鋼骨鋼筋混凝土造,1071213,27.27,0,0,0,有,有,1850000,,坡道平面,27.27,1850000,僅車位交易;,RPWNMLNJJIPFFAF48DA,0.0,0.0,0.0,有
