鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
松山區,建物,臺北市松山區八德路四段31~60號,0.0,住,,,1090923,土地0建物0車位0,一層,2,店面(店鋪),,加強磚造,,97.67,0,0,0,無,無,無,70000,717,,0.0,0,,RPRPMLMKIIPFFDA97CC
信義區,建物,臺北市信義區信安街115巷1~30號,0.0,住,,,1090923,土地0建物0車位0,四層,4,套房(1房1廳1衛),住家用,鋼筋混凝土造,0681218,22.87,1,0,1,有,無,有,10000,437,,0.0,0,此為分租套房，房號402，第9層分成4間，一間平均面積為22.87平方公尺,RPVPMLMKIIPFFDA38CC
北投區,建物,臺北市北投區石牌路二段315巷28弄1~30號,0.0,住,,,1090916,土地0建物1車位0,七層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0971009,40.58,1,1,1,有,有,有,20000,493,,0.0,0,,RPQPMLMKIIPFFEA97CC
北投區,建物,臺北市北投區懷德街31~60號,0.0,住,,,1091005,土地0建物1車位0,見其他登記事項,12,店面(店鋪),見其他登記事項,鋼筋混凝土造,0990817,132.39000000000001,1,1,1,有,有,有,50000,378,,0.0,0,,RPRPMLMKIIPFFEA08CC
士林區,建物,臺北市士林區中山北路七段14巷50弄1~30號,0.0,住,,,1090924,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0750327,118.31,3,2,2,有,無,有,24000,203,,0.0,0,,RPTPMLMKIIPFFEA28CC
大安區,房地(土地+建物),臺北市大安區樂業街61~90號,0.0,商,,,1090922,土地1建物1車位0,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950728,221.73999999999998,3,2,2,有,無,有,60000,271,,0.0,0,,RPPQMLMKIIPFFFA08CC
大安區,建物,臺北市大安區東豐街31~60號,0.0,住,,,1091008,土地0建物1車位0,一層,4,店面(店鋪),,加強磚造,,103.66,0,0,0,無,無,有,138000,1331,,0.0,0,,RPQQMLMKIIPFFFA18CC
大安區,房地(土地+建物),臺北市大安區羅斯福路三段241~270號,0.0,商,,,1090922,土地3建物1車位0,五層,12,辦公商業大樓,見使用執照,鋼筋混凝土造,0800410,193.88,0,0,0,無,無,有,84000,433,,0.0,0,,RPSQMLMKIIPFFFA38CC
中正區,建物,臺北市中正區和平西路一段1~30號,0.0,商,,,1090921,土地0建物0車位0,八層,11,套房(1房1廳1衛),商業用,鋼筋混凝土造,,44.730000000000004,1,0,1,有,無,有,13800,309,,0.0,0,此為分租套房，房號818，第8層分成20間，一間平均面積為44.73平方公尺,RPUNMLMKIIPFFAA77CC
中正區,建物,臺北市中正區寧波西街91~120號,0.0,住,,,1090914,土地0建物1車位2,三層,14,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1011113,365.19,4,2,3,有,有,有,125000,342,坡道平面,102.38,0,,RPQPMLMKIIPFFAA57CC
