鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
蘆竹區,建物,桃園市蘆竹區南山路一段61~90號,2.36,住,,,1090924,土地0建物1車位0,十七層,20,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840811,23.849999999999998,1,0,1,有,有,有,7500,314,,0.0,0,含管理費、稅金或水電等費用。;,RPSPMLPKIIPFFEH56CC
蘆竹區,建物,桃園市蘆竹區南山路一段31~60號,2.9,住,,,1090929,土地0建物1車位0,七層,20,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840925,34.629999999999995,1,0,1,有,有,有,7000,202,,0.0,0,含管理費、稅金或水電等費用。;,RPUPMLPKIIPFFEH76CC
大園區,建物,桃園市大園區中正東路三段571~600號,0.0,,一般農業區,甲種建築用地,1090923,土地0建物1車位1,一層,6,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0830112,163.76,3,2,2,有,無,有,15200,93,坡道平面,0.0,0,,RPURMLPKIIPFFEH96CC
龍潭區,房地(土地+建物),桃園市龍潭區百年路1~30號,26.31,,鄉村區,乙種建築用地,1090923,土地2建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860130,78.99000000000001,2,2,1,有,有,有,10000,127,,0.0,0,急出租急承租。;租金內含管理費/月＄920,RPTOMLPKIIPFFCH98CC
桃園區,建物,桃園市桃園區文中三路121~150號,0.0,住,,,1090925,土地0建物1車位1,一層,15,店面(店鋪),見其他登記事項,鋼筋混凝土造,1070824,116.78,0,1,1,有,有,無,30000,257,坡道平面,39.68,0,租金含管理費。,RPQNMLPKIIPFFAH38CC
桃園區,建物,桃園市桃園區中正路1081~1110號,0.0,商,,,1090928,土地0建物1車位2,十層,32,辦公商業大樓,見其他登記事項,見其他登記事項,1011102,331.3,0,4,0,有,有,有,111275,336,坡道平面,47.54,0,,RPUNMLPKIIPFFAH78CC
桃園區,房地(土地+建物),桃園市桃園區上海路91~120號,11.4,住,,,1091008,土地1建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821104,64.55,2,1,1,有,有,有,14000,217,,0.0,0,,RPTPMLPKIIPFFAH88CC
桃園區,房地(土地+建物),桃園市桃園區同安街631~660號,12.05,住,,,1091007,土地1建物1車位0,六層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880501,106.8,3,2,2,有,無,有,16500,154,,0.0,0,,RPUPMLPKIIPFFAH98CC
桃園區,房地(土地+建物),桃園市桃園區民有三街451~480號,8.63,商,,,1091011,土地1建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000506,90.85,2,1,1,有,有,有,16000,176,,0.0,0,,RPXPMLPKIIPFFAH66CC
桃園區,房地(土地+建物)+車位,桃園市桃園區永安北路421~450號,24.04,住,,,1091004,土地1建物1車位1,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0910222,103.86,4,2,2,有,無,有,23000,221,坡道平面,34.47,0,,RPRQMLPKIIPFFAH78CC
桃園區,房地(土地+建物)+車位,桃園市桃園區吉安一街181~210號,11.94,住,,,1091005,土地1建物1車位1,二層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070323,83.24,2,2,1,有,有,有,24000,288,坡道平面,27.24,0,,RPVQMLPKIIPFFAH56CC
桃園區,房地(土地+建物),桃園市桃園區博愛路91~120號,15.33,商,,,1091011,土地1建物1車位0,三層,3,套房(1房1廳1衛),住商用,加強磚造,0620816,25.36,1,1,1,有,無,有,7500,296,,0.0,0,,RPWQMLPKIIPFFAH66CC
桃園區,房地(土地+建物)+車位,桃園市桃園區樹林九街67巷1~30號,18.5,住,,,1090916,土地1建物1車位1,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890915,140.1,3,2,2,有,有,有,16000,114,坡道平面,0.0,0,含管理費、稅金或水電等費用。;,RPRRMLPKIIPFFAH88CC
桃園區,房地(土地+建物),桃園市桃園區介壽路1~30號,8.46,住,,,1090917,土地1建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920728,61.81,2,1,1,有,有,有,14000,227,,0.0,0,含管理費、稅金或水電等費用。;,RPXRMLPKIIPFFAH86CC
桃園區,房地(土地+建物)+車位,桃園市桃園區介壽路1~30號,8.64,住,,,1090921,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920728,97.12,2,1,1,有,有,有,13600,140,坡道平面,0.0,0,含管理費、稅金或水電等費用。;,RPPSMLPKIIPFFAH78CC
中壢區,房地(土地+建物)+車位,桃園市中壢區南園二路296巷21弄31~60號,18.08,住,,,1091010,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020605,132.39,3,2,1,有,有,有,17000,128,坡道平面,33.71,0,,RPOOMLPKIIPFFBH38CC
中壢區,建物,桃園市中壢區慈惠三街31~60號,0.0,商,,,1090926,土地0建物1車位0,十六層,21,套房(1房1廳1衛),住家用,鋼筋混凝土造,0901026,40.96,1,1,1,有,有,有,11000,269,,0.0,0,,RPPOMLPKIIPFFBH48CC
中壢區,房地(土地+建物),桃園市中壢區富村街91~120號,16.0,住,,,1091010,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870701,87.6,2,1,1,有,無,有,12000,137,,0.0,0,,RPSOMLPKIIPFFBH78CC
中壢區,房地(土地+建物),桃園市中壢區文化二路271~300號,9.65,住,,,1091013,土地1建物1車位0,一層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0940824,48.69,0,0,0,無,有,無,15000,308,,0.0,0,,RPWOMLPKIIPFFBH56CC
中壢區,建物,桃園市中壢區中正路481~510號,0.0,住,,,1090928,土地0建物1車位0,七層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860627,33.21,1,1,1,有,無,有,5500,166,,0.0,0,,RPRSMLPKIIPFFBH09CC
