編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPXRMLPKIIPFFAH86CC,17,45.59,住家用,鋼筋混凝土造,92年7月28日,十四層,
RPXRMLPKIIPFFAH86CC,17,6.46,共有部份,鋼筋混凝土造,92年7月28日,十四層,
RPXRMLPKIIPFFAH86CC,17,9.76,共有部份,鋼筋混凝土造,92年7月28日,十四層,
RPPSMLPKIIPFFAH78CC,17,46.79,住家用,鋼筋混凝土造,92年7月28日,十四層,
RPPSMLPKIIPFFAH78CC,17,38.28,共有部份,鋼筋混凝土造,92年7月28日,十四層,
RPPSMLPKIIPFFAH78CC,17,12.05,共有部份,鋼筋混凝土造,92年7月28日,十四層,
RPRQMLPKIIPFFAH78CC,19,103.86,住家用,鋼筋混凝土造,91年2月22日,九層,
RPUPMLQKIIPFFAH09CC,16,65.12,住家用,鋼筋混凝土造,93年12月31日,十四層,
RPUPMLQKIIPFFAH09CC,16,12.54,共有部份,鋼筋混凝土造,93年12月31日,十四層,
RPUPMLQKIIPFFAH09CC,16,13.08,共有部份,鋼筋混凝土造,93年12月31日,十四層,
RPRSMLPKIIPFFBH09CC,23,26.09,住家用,鋼筋混凝土造,86年6月27日,七層,
RPRSMLPKIIPFFBH09CC,23,2.38,共有部分,鋼筋混凝土造,86年6月27日,七層,
RPRSMLPKIIPFFBH09CC,23,4.74,共有部分,鋼筋混凝土造,86年6月27日,七層,
RPXPMLQKIIPFFAH76CC,23,218.50,住商用,鋼筋混凝土造,86年11月28日,二十五層,
RPQQMLQKIIPFFAH78CC,37,88.14,住家用,鋼筋混凝土造,73年1月26日,五層,
RPSOMLPKIIPFFBH78CC,22,87.60,住家用,鋼筋混凝土造,87年7月1日,七層,
RPOOMLPKIIPFFBH38CC,7,132.39,見其他登記事項,鋼筋混凝土造,102年6月5日,十五層,
RPVNMLTKIIPFFHH37CC,11,29.47,共有部份,鋼筋混凝土造,99年3月1日,十一層,
RPWOMLPKIIPFFBH56CC,15,48.69,商業用,鋼筋混凝土造,94年8月24日,十二層,
RPPOMLPKIIPFFBH48CC,19,31.22,住家用,鋼筋混凝土造,90年10月26日,二十一層,
RPPOMLPKIIPFFBH48CC,19,1.25,共有部分,鋼筋混凝土造,90年10月26日,二十一層,
RPPOMLPKIIPFFBH48CC,19,7.46,共有部分,鋼筋混凝土造,90年10月26日,二十一層,
RPPOMLPKIIPFFBH48CC,19,.77,共有部分,鋼筋混凝土造,90年10月26日,二十一層,
RPPOMLPKIIPFFBH48CC,19,.26,共有部分,鋼筋混凝土造,90年10月26日,二十一層,
RPXQMLQKIIPFFBH07DC,28,96.94,住家用,鋼筋混凝土造,81年5月29日,五層,
