鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
五股區,建物,新北市五股區新五路三段271~300號,0.0,商,,,1090910,土地0建物1車位1,十三層,19,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080319,163.71,3,2,2,有,有,有,23000,156,坡道平面,35.78,3000,國家住宅及都市更新中心辦理社會住宅包租代管第2期計畫,RPVQMLNKIIPFFBF88CC
五股區,建物,新北市五股區芳洲七路1~30號,0.0,住,,,1090910,土地0建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040820,99.53,2,1,1,有,有,有,17300,196,坡道平面,26.49,3000,國家住宅及都市更新中心辦理社會住宅包租代管第2期計畫,RPWQMLNKIIPFFBF98CC
新莊區,建物,新北市新莊區思源路481~510號,0.0,商,,,1090917,土地0建物1車位1,十八層,25,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021213,216.48,3,2,2,有,有,有,47500,219,坡道平面,38.7,0,,RPRVMLNKIIPFFBF98CC
五股區,建物,新北市五股區五工二路121~150號,0.0,,工業區,丁種建築用地,1090806,土地0建物1車位1,四層,6,廠辦,見其他登記事項,鋼筋混凝土造,0781120,584.65,0,0,0,無,無,無,130000,222,坡道平面,0.0,0,管理費另計.租金含地下室汽車位1位外圍機車位6位.租金未稅,RPXVMLNKIIPFFBF96CC
新莊區,房地(土地+建物)+車位,新北市新莊區立信一街61~90號,10.96,住,,,1090914,土地1建物1車位1,六層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0990104,108.11,2,2,1,有,有,無,24000,222,坡道平面,17.52,0,,RPVOMLOKIIPFFBF78CC
新莊區,房地(土地+建物),新北市新莊區立信三街35巷1~30號,18.38,住,,,1090915,土地1建物1車位0,一層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0970808,145.98000000000002,1,1,1,有,有,無,21500,147,,0.0,0,,RPWOMLOKIIPFFBF88CC
新莊區,房地(土地+建物)+車位,新北市新莊區新北大道四段151~180號,16.67,商,,,1090921,土地1建物1車位1,三層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020415,160.32,0,0,2,有,有,有,31974,199,坡道平面,17.31,0,,RPPPMLOKIIPFFBF28CC
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段271~300號,23.74,商,,,1091012,土地1建物1車位1,四層,36,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1070628,290.58,3,2,3,有,有,有,50000,172,坡道平面,0.0,0,含管理費,RPQPMLOKIIPFFBF38CC
新莊區,建物,新北市新莊區建興街61~90號,0.0,住,,,1090930,土地0建物1車位0,五層,6,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1020718,112.61000000000001,3,1,2,有,有,有,20200,179,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為25011 ，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額20200。管理費另收800元。,RPWQMLOKIIPFFBF09CC
新莊區,建物,新北市新莊區思源路230巷1~30號,0.0,住,,,1090926,土地0建物1車位1,全,2,透天厝,見其他登記事項,鋼筋混凝土造,1010118,129.56,1,3,2,有,有,有,38000,293,坡道平面,15.12,0,租金含管理費。房屋用途做住家及店面營業使用。,RPQSMLOKIIPFFBF68CC
板橋區,建物,新北市板橋區民生路三段301~330號,0.0,住,,,1090924,土地0建物1車位0,二十六層,37,套房(1房1廳1衛),住家用,鋼骨鋼筋混凝土造,0950914,55.75,1,1,1,有,有,有,20000,359,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為27137，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為20000。管理費另收843元。公設含健身房。,RPQTMLOKIIPFFAF68CC
土城區,車位,新北市土城區金城路二段121~150號,0.0,住,,,1090927,土地0建物0車位1,,,其他,,,,30.9,0,0,0,有,有,無,2700,,坡道平面,30.9,2700,租金含管理費。依車位所登記公設門牌申報。,RPTTMLOKIIPFFAF98CC
